Metric,Strategy,Benchmark,Difference
Total_Return,0.0,0.1565688164815604,-0.1565688164815604
Annualized_Return,0.0,0.17196418608333763,-0.17196418608333763
Annualized_Volatility,0.0,0.4822037498684242,-0.4822037498684242
Sharpe_Ratio,0.0,0.31514517696057553,-0.31514517696057553
Sortino_Ratio,0.0,0.4605748244798456,-0.4605748244798456
Max_Drawdown,0.0,-0.2247410967444431,0.2247410967444431
Win_Rate,0.0,0.5454545454545454,-0.5454545454545454
Total_Trades,0.0,11.0,-11.0
Profit_Factor,inf,1.5053999819516253,inf
Avg_Return_Per_Trade,0.0,0.02236745612482215,-0.02236745612482215
Strategy_Type,threshold,,
Transaction_Cost,0.001,,
Slippage,0.0005,,
Position_Size,1,,
Risk_Free_Rate,0.02,,
Threshold_SD_Multiple,0.5,,
