,Feature,VIF
2,Baltic_Dry_Index,227244.23831148102
16,Baltic_Dry_Index_scaled,1264.7078764056364
7,Newcastle_FOB_6000_NAR_roll_mean_3,305.73327607931793
11,Newcastle_FOB_6000_NAR_mom_change,272.19246414759164
13,Newcastle_FOB_6000_NAR_log,269.9094893486804
1,EUA_Carbon_Futures,224.13576526834905
15,EUA_Carbon_Futures_log,222.82541613418468
4,Newcastle_FOB_6000_NAR_lag_1,195.11416025196584
14,Henry_Hub_Spot_log,109.31946323535541
0,Henry_Hub_Spot,105.41988102054142
5,Newcastle_FOB_6000_NAR_lag_2,84.03305667878526
12,Newcastle_FOB_6000_NAR_mom_change_3m_avg,77.34588523306537
6,Newcastle_FOB_6000_NAR_lag_3,56.75312744764451
9,Newcastle_FOB_6000_NAR_roll_mean_6,8.698667016935307
8,Newcastle_FOB_6000_NAR_roll_std_3,5.236082456357218
10,Newcastle_FOB_6000_NAR_roll_std_6,2.690435645272104
3,China_Manufacturing_PMI,1.9685602451341782
